"Id","Response"
1,5
3,6
4,6
9,6
12,7
13,8
21,6
28,8
30,5
36,7
38,8
43,5
45,2
48,8
50,6
51,8
54,6
55,8
59,8
62,4
63,8
66,8
69,8
82,8
83,7
84,6
86,8
89,8
90,3
92,6
98,5
100,2
105,5
115,8
119,2
124,2
127,8
133,7
140,5
141,8
143,2
151,3
154,8
157,7
163,4
166,2
168,8
170,7
173,8
180,5
182,8
184,4
185,7
195,7
196,6
197,5
212,5
213,8
219,8
225,2
227,3
232,5
239,5
247,5
251,5
254,5
261,6
264,6
267,8
272,8
275,8
277,4
283,7
284,2
287,7
291,8
293,5
294,3
305,6
307,5
309,8
311,4
322,2
323,3
326,6
330,2
335,8
337,8
338,5
341,1
346,5
348,8
352,2
356,8
358,2
366,7
369,3
373,6
375,4
381,5
384,8
386,5
396,7
397,2
399,6
405,8
412,8
417,3
421,5
425,8
427,8
430,5
432,5
433,8
436,8
438,8
441,8
442,6
444,6
446,7
448,8
450,7
454,8
465,8
470,4
472,4
475,8
484,8
495,8
497,8
498,8
501,4
502,6
505,8
515,5
516,6
527,8
529,3
531,8
533,5
537,2
541,8
546,8
548,6
549,8
550,7
553,7
559,7
561,3
564,1
574,5
578,7
579,5
580,8
582,6
584,8
588,6
596,5
602,4
603,3
613,8
614,1
619,8
620,7
624,5
625,8
628,4
630,5
635,7
636,4
637,8
641,8
644,8
648,8
654,8
658,6
664,8
666,7
667,8
670,8
672,6
674,8
676,7
684,8
685,4
693,2
694,7
700,2
702,6
703,5
705,6
711,8
718,2
722,8
726,4
727,2
732,8
735,8
740,5
748,6
750,6
751,8
756,7
762,7
766,8
770,7
771,4
779,6
782,3
784,8
793,7
798,5
800,6
801,7
805,6
807,5
813,8
819,8
820,7
822,8
823,7
833,8
834,5
842,3
845,7
856,5
860,5
864,3
869,7
872,8
877,5
878,6
893,6
894,8
896,5
899,5
900,6
911,2
914,7
917,1
919,7
923,2
925,5
926,3
934,6
938,7
940,7
955,6
956,6
971,8
973,8
978,8
979,8
981,8
988,7
990,8
992,3
996,8
997,5
999,5
1000,8
1006,7
1009,3
1018,5
1025,4
1038,7
1042,8
1045,6
1046,8
1047,6
1050,5
1052,7
1054,8
1057,7
1061,2
1069,4
1071,6
1073,6
1074,8
1075,3
1083,5
1084,2
1089,4
1099,5
1103,3
1110,8
1123,7
1130,7
1135,7
1137,8
1145,8
1147,3
1152,8
1153,2
1154,8
1158,8
1166,6
1170,8
1172,8
1178,4
1179,8
1181,2
1182,8
1183,8
1191,6
1192,1
1200,2
1205,6
1207,7
1208,2
1209,4
1217,3
1223,7
1225,8
1226,3
1228,3
1230,5
1232,8
1235,8
1237,6
1257,7
1266,2
1267,6
1274,8
1277,8
1278,6
1280,8
1282,7
1293,6
1294,2
1305,8
1306,7
1311,7
1318,4
1320,7
1323,7
1325,3
1328,6
1336,3
1340,7
1341,8
1344,6
1345,7
1348,2
1358,1
1361,8
1364,5
1373,8
1377,5
1378,7
1380,7
1382,6
1383,4
1386,8
1387,2
1390,2
1395,8
1398,6
1402,2
1403,8
1405,8
1407,7
1410,2
1412,3
1419,6
1426,6
1428,8
1436,7
1437,3
1438,3
1441,8
1444,3
1448,3
1454,5
1457,6
1459,8
1463,8
1467,3
1471,6
1475,5
1476,3
1480,7
1481,2
1482,5
1489,5
1491,8
1494,8
1496,8
1500,8
1501,8
1503,7
1504,3
1505,3
1515,3
1517,3
1520,5
1521,3
1523,8
1526,7
1529,6
1530,7
1543,5
1544,8
1547,7
1550,8
1552,6
1554,6
1563,7
1574,6
1575,5
1576,6
1579,5
1582,3
1584,8
1585,7
1589,5
1596,7
1598,3
1611,5
1613,2
1615,8
1618,4
1627,7
1630,3
1638,8
1639,7
1640,8
1642,7
1645,7
1648,7
1654,5
1661,7
1662,7
1663,8
1666,5
1668,2
1670,1
1672,7
1681,6
1682,7
1683,2
1687,8
1688,8
1693,6
1694,7
1700,8
1704,6
1712,8
1716,8
1717,7
1722,5
1724,4
1738,1
1739,2
1740,8
1761,8
1763,7
1765,8
1766,7
1767,7
1771,5
1772,7
1777,8
1784,2
1799,4
1806,7
1810,3
1812,3
1814,2
1818,7
1819,8
1822,5
1823,8
1824,3
1834,4
1835,6
1844,5
1848,6
1849,8
1850,6
1851,3
1856,4
1862,3
1863,5
1872,5
1874,5
1875,8
1877,6
1900,8
1902,6
1904,5
1905,4
1908,8
1914,8
1916,2
1922,2
1933,6
1934,6
1939,7
1942,6
1947,8
1957,7
1971,8
1973,5
1974,7
1977,7
1981,5
1985,8
1987,6
1989,7
2001,3
2002,2
2007,2
2008,8
2011,4
2021,7
2034,8
2040,8
2044,3
2045,8
2048,8
2051,7
2062,7
2066,1
2068,3
2069,4
2074,8
2075,7
2078,7
2079,1
2080,2
2081,3
2084,2
2085,8
2087,7
2096,5
2102,5
2103,5
2107,8
2117,5
2118,2
2120,6
2121,3
2122,3
2130,7
2136,2
2138,8
2140,8
2143,7
2144,5
2145,5
2147,7
2150,2
2154,8
2155,2
2166,5
2169,3
2173,6
2176,1
2178,7
2179,5
2180,8
2184,8
2185,8
2188,6
2190,7
2194,6
2195,7
2198,6
2205,8
2206,8
2207,2
2212,6
2213,8
2216,8
2218,2
2224,7
2225,7
2228,8
2236,6
2242,8
2246,4
2250,8
2255,6
2256,2
2267,3
2268,7
2269,5
2272,5
2275,2
2280,8
2282,8
2287,6
2289,8
2293,8
2296,7
2307,3
2309,5
2313,5
2325,7
2327,7
2336,3
2339,7
2342,8
2347,8
2350,4
2360,6
2364,7
2369,2
2379,3
2394,7
2395,3
2399,8
2402,8
2410,8
2416,8
2420,8
2427,6
2434,8
2435,8
2441,8
2447,5
2452,6
2463,5
2467,4
2468,8
2470,6
2476,6
2483,2
2487,4
2492,8
2502,7
2504,4
2510,8
2511,2
2512,8
2517,7
2520,8
2521,8
2523,7
2524,6
2525,7
2526,5
2528,8
2530,3
2532,4
2536,4
2540,5
2541,7
2543,7
2549,8
2550,1
2556,4
2557,4
2559,7
2565,8
2566,8
2567,2
2568,5
2570,7
2573,8
2577,7
2578,6
2583,2
2586,3
2587,3
2588,8
2591,8
2597,8
2606,7
2607,8
2608,8
2611,2
2612,8
2613,8
2616,8
2621,8
2622,7
2634,8
2639,8
2642,2
2644,6
2650,2
2655,8
2664,8
2667,7
2670,5
2679,2
2681,6
2683,8
2685,8
2687,8
2696,6
2699,8
2712,2
2716,8
2720,8
2725,7
2726,8
2731,6
2733,7
2740,8
2742,5
2748,4
2749,8
2763,5
2771,8
2772,4
2773,6
2783,7
2784,8
2789,2
2796,4
2798,5
2799,8
2800,6
2802,8
2805,6
2809,7
2816,8
2817,6
2821,7
2822,8
2829,5
2832,4
2842,6
2844,7
2846,6
2851,7
2852,5
2853,8
2856,7
2862,2
2866,7
2868,5
2886,8
2892,5
2893,3
2898,8
2917,2
2923,2
2927,6
2930,8
2931,2
2935,8
2936,4
2961,2
2964,8
2967,8
2968,7
2970,7
2977,4
