CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2008 Taku Kudo, All rights reserved.

reading training data: 100.. 200.. 300.. 400.. 500.. 600.. 700.. 800.. 900.. 1000.. 1100.. 1200.. 1300.. 1400.. 1500.. 1600.. 
Done!10.40 s

Number of sentences: 1600
Number of features:  2207527
Number of thread(s): 3
Freq:                1
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=0 terr=0.11786 serr=0.97625 act=2207527 obj=886247.26420 diff=1.00000
iter=1 terr=0.11786 serr=0.97625 act=2207527 obj=458884.85663 diff=0.48222
iter=2 terr=0.11786 serr=0.97625 act=2207527 obj=467562.79610 diff=0.01891
iter=3 terr=0.11786 serr=0.97625 act=2207527 obj=216479.52263 diff=0.53700
iter=4 terr=0.11786 serr=0.97625 act=2207527 obj=194510.00688 diff=0.10149
iter=5 terr=0.24790 serr=0.99562 act=2207527 obj=484284.13327 diff=1.48976
iter=6 terr=0.11786 serr=0.97625 act=2207527 obj=162974.80710 diff=0.66347
iter=7 terr=0.09979 serr=0.97625 act=2207527 obj=149805.06083 diff=0.08081
iter=8 terr=0.10025 serr=0.97625 act=2207527 obj=128324.82076 diff=0.14339
iter=9 terr=0.09725 serr=0.97750 act=2207527 obj=109439.15545 diff=0.14717
iter=10 terr=0.09141 serr=0.97437 act=2207527 obj=91166.11066 diff=0.16697
iter=11 terr=0.11515 serr=0.98062 act=2207527 obj=88832.25167 diff=0.02560
iter=12 terr=0.09966 serr=0.97875 act=2207527 obj=75300.96545 diff=0.15232
iter=13 terr=0.09107 serr=0.97188 act=2207527 obj=72444.74686 diff=0.03793
iter=14 terr=0.09094 serr=0.97188 act=2207527 obj=68794.97716 diff=0.05038
iter=15 terr=0.50548 serr=0.99438 act=2207527 obj=202302.45018 diff=1.94066
iter=16 terr=0.09128 serr=0.97250 act=2207527 obj=63511.52597 diff=0.68606
iter=17 terr=0.11615 serr=0.97688 act=2207527 obj=66312.53775 diff=0.04410
iter=18 terr=0.09423 serr=0.97375 act=2207527 obj=61092.88513 diff=0.07871
iter=19 terr=0.09204 serr=0.97250 act=2207527 obj=59020.04921 diff=0.03393
iter=20 terr=0.09103 serr=0.97188 act=2207527 obj=55832.75199 diff=0.05400
iter=21 terr=0.08802 serr=0.96937 act=2207527 obj=52765.15517 diff=0.05494
iter=22 terr=0.08855 serr=0.96875 act=2207527 obj=51582.54904 diff=0.02241
iter=23 terr=0.08477 serr=0.96562 act=2207527 obj=50698.02391 diff=0.01715
iter=24 terr=0.08391 serr=0.96500 act=2207527 obj=50095.92687 diff=0.01188
iter=25 terr=0.08249 serr=0.96500 act=2207527 obj=48153.24078 diff=0.03878
iter=26 terr=0.08045 serr=0.96750 act=2207527 obj=45680.78573 diff=0.05135
iter=27 terr=0.08557 serr=0.97125 act=2207527 obj=45335.16386 diff=0.00757
iter=28 terr=0.08040 serr=0.96688 act=2207527 obj=44568.52363 diff=0.01691
iter=29 terr=0.07960 serr=0.96750 act=2207527 obj=43518.86380 diff=0.02355
iter=30 terr=0.07800 serr=0.96750 act=2207527 obj=41417.51636 diff=0.04829
iter=31 terr=0.07961 serr=0.96625 act=2207527 obj=40825.44931 diff=0.01430
